Entry_ID,Date_Posted,Date_Logged,Channel_Name,Video_Title,Video_Length,URL,Views
1,2026-07-24,2026-09-12,Fireship,"The most interesting ""hack"" in history...",273,https://www.youtube.com/watch?v=KOpTWx1Eou4,"935,532"
2,8/15/2026,9/12/2026,The Peter McCormack Show,How Swarms of AI Agents Are Plotting,4201,https://www.youtube.com/watch?v=6XrkGK9mqsE,"572,000"
3,8/10/2026,9/12/2026,BBC News,MAI goes on a hacking spree,1472,http://www.youtube.com/watch?v=vNV0v11Era4,"528,229"
4,8/12/2026,9/12/2026,CNN,Fareed reacts to a second AI model going rogue,690s,https://www.youtube.com/watch?v=qEUXagHtQRo,"364,000"
5,8/11/2026,9/12/2026,Siliconversations,ChatGPT Went Rogue (Exactly As Predicted),558,https://www.youtube.com/watch?v=NXxWZu5nZK4,"357,000"
6,8/22/2026,9/12/2026,Sky News,The AI hacks are so much worse than you think,675,https://www.youtube.com/watch?v=INpVD65s8mA,"330,000"
7,2026-07-23,2026-09-12,BBC News,OpenAI says its AI went rogue and launched 'unprecedented' cyber-attack | BBC News,584,https://www.youtube.com/watch?v=4k3RreudH24,"323,370"
8,2026-07-23,2026-09-12,BBC News,How worried should we be about the AI that went rogue and launched a cyber-attack? | BBC News,662,https://www.youtube.com/watch?v=M4kliMrqbB4,"269,366"
9,8/11/2026,9/12/2026,HugoDécrypte - Actus du jour,AI Slips Out of OpenAI’s Control,661,https://www.youtube.com/watch?v=CtKyhp9m0K4,"264,000"
10,8/13/2026,9/12/2026,The PrimeTime,You won't believe how they got hacked,803,https://www.youtube.com/watch?v=Om0ojoKO6sQ,"255,000"
11,8/10/2026,9/12/2026,AI News & Strategy Daily | Nate B Jones,Anthropic's Model Attacked Two Strangers On GitHub. Nobody Asked It To.,1707,https://www.youtube.com/watch?v=FCRT7M30Wtw,"244,000"
12,8/10/2026,9/12/2026,CNN,OpenAI models went rogue and hacked another company,539s,https://www.youtube.com/watch?v=4OgyuUq_cCc,"216,000"
13,8/10/2026,9/12/2026,Wes Roth,OpenAI internal model JUST went ROGUE,1582,https://www.youtube.com/watch?v=OSuhUTkM1no,"212,000"
14,2026-07-25,2026-09-12,Peter H. Diamandis,"The Hugging Face Breach, Moonshot AI Valued at $20B, and Living to 1,759 Years Old | EP #273",9161,https://www.youtube.com/watch?v=qPMhduk1qUs,"206,654"
15,2026-07-31,2026-09-12,Low Level,The AI Models Escaped.,786,https://www.youtube.com/watch?v=tCzdgOg301Q,"195,889"
16,8/11/2026,9/12/2026,RTVE Noticias,"OpenAI model goes rogue and causes ""unprecedented"" cyberattack",106,https://www.youtube.com/watch?v=ZizzRtptUDE,"182,000"
17,9/11/2026,9/12/2026,Matthew Berman,We need to talk about this...,1974,https://www.youtube.com/watch?v=jQIeVznGG3k,"137,000"
18,8/12/2026,9/12/2026,Marc Vidal,Neither Skynet nor Rebellion: The Truth About What Happened Between OpenAI and Hugging Face,1342,https://www.youtube.com/watch?v=1ZsW_2w15xc,"133,000"
19,8/20/2026,9/12/2026,The Wall Street Journal,How OpenAI’s Models Went Rogue to Hack Another Company,352,https://www.youtube.com/watch?v=KLw0AY-bsVs,"131,000"
20,8/10/2026,9/12/2026,AI Explained,"GPT-6 Goes Rogue? The HuggingFace Incident, Sans Hype",876,https://www.youtube.com/watch?v=wzY2fV4Mp3U,"124,000"
21,8/11/2026,9/12/2026,Matthew Berman,It Begins: An AI Tried to Escape the Lab,643,https://www.youtube.com/watch?v=FGDM92QYa60,"109,000"
22,8/11/2026,9/12/2026,AI Revolution,The Rogue AI Story Just Got A Lot Worse (OpenAI Freaking Out),762,https://www.youtube.com/watch?v=JRcAegChriY,"105,000"
23,8/12/2026,9/12/2026,LiveOverflow,Did an AI Really Hack Hugging Face?,1045,https://www.youtube.com/watch?v=q2KCrmQz9WE,"103,000"
24,8/11/2026,9/12/2026,ABC News (Australia),OpenAI models broke containment and hacked platform,373,https://www.youtube.com/watch?v=x_-j8DIrKDA,"87,000"
25,8/10/2026,9/12/2026,NBC News,OpenAI says its AI models went rogue and hacked another tech company during test,290,https://www.youtube.com/watch?v=ohmmQax8AHg,"73,000"
